# Same as v2 except for the masses w/o vertexing in the selection (w/ vertexing in this dump). 202 selected events.
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa   mass[mm]    mmgMass  mmgDeltaR  kRatio(mm
148822   231   247043530  22.289239  15.933137  40.439865  -0.543841  -0.540029  0.6907624  2.1830453  2.1772778  -0.542518  60.070358  93.138977  0.0069161  0.9290050
148822   352   369405158  26.180435  13.040247  35.169872  -0.099729  -0.168127  1.2864109  1.5581271  1.4677196  -1.579079  54.763103  93.785636  0.1132651  0.9170970
148822   349   366143423  17.653135  27.668691  41.913139  -1.411980  -1.438403  -2.155854  2.6609780  2.6596810  -0.533440  72.690048  93.120040  0.0264174  0.8948594
148862   528   771582159  12.133840  23.512949  53.831249  1.7846868  1.6425498  1.9297535  -2.740340  -2.851115  0.4013512  71.594131  88.034568  0.1802265  1.2153256
148862    31    45333619  21.881151  15.764480  74.338592  -0.976196  -0.955421  -1.647142  -0.374478  -0.423588  -2.125617  57.229625  89.006095  0.0533336  1.0845934
148862    55    86229801  31.126647  13.119741  43.383140  -0.777292  -0.775863  0.1840973  -1.256147  -1.259034  2.7428457  49.380664  90.931030  0.0038236  1.0080147
148862   118   190742643  17.669906  25.047613  45.390438  -0.024836  -0.009779  -0.547921  -2.985208  -2.982607  -0.168822  69.228157  90.347175  0.0143779  1.0452708
148862    65   102696756  19.146263  24.457660  44.140934  -0.268838  -0.351573  0.3063001  2.4579021  1.8746497  -1.019540  68.765014  91.974929  0.5891005  0.9613459
148862    75   120508327  20.182354  16.399404  50.468479  0.3580646  0.3970551  -0.268374  -1.425852  -1.387253  1.9021377  60.685001  90.232414  0.0548784  1.0388609
148862   108   176231149  35.189800  10.119435  46.555847  0.1810858  0.6674635  0.7535184  -2.091592  -2.376505  0.8795926  43.234630  94.790275  0.5635698  0.9058429
148862   240   361531305  11.498031  27.614856  47.209590  -0.019871  -0.023784  0.7379905  0.9420771  0.8995952  -2.712766  75.746345  89.990242  0.0426644  1.0918928
148862   356   530191192  15.147992  27.965719  38.623626  -0.923341  -0.865299  0.2216396  -2.857493  -2.995513  0.6837295  73.567039  92.312446  0.1496266  0.9336192
148862   432   637700358  12.417701  24.006431  50.862266  -0.153589  -0.144242  0.7434499  -1.057883  -1.049760  2.2507004  76.428466  94.142791  0.0126054  0.8187400
148862   452   666949985  10.890541  25.264337  38.816398  1.1919524  1.0939964  -0.210020  2.5702095  2.5004508  -0.673582  76.872238  92.717361  0.1201530  0.8953058
148862   454   669884672  22.007061  20.727592  43.244068  0.5086209  -0.241693  0.3954226  -0.087892  -0.007761  -3.125383  62.948326  89.761550  0.7545142  1.0630195
148862   497   728869959  19.773202  10.934662  51.991848  1.1436134  1.1468499  0.0283349  -1.079238  -1.092053  1.6914907  55.088184  91.734802  0.0137113  0.9813968
148862   503   737228107  10.691280  34.706295  44.282341  -0.370725  -0.212423  -0.586125  0.4371282  0.3734278  -2.868340  80.552284  91.640396  0.1690788  0.9566416
148864    34    39192068  13.019612  30.148269  32.076293  -0.580640  -0.561573  0.7657259  -2.268096  -2.293154  1.3671319  74.588378  89.445686  0.0313308  1.1291071
148864    79    95334486  11.957085  28.417388  33.369899  -2.399334  -2.279360  -0.847453  0.7037205  1.0720062  -2.492878  76.711357  93.234802  0.3872468  0.8655494
148864   137   164411779  15.802005  23.384162  36.714626  1.6769218  1.6754225  0.3911303  -2.235005  -2.186563  0.9339097  71.033622  91.978019  0.0484433  0.9575951
148952   105    80245209  11.273449  33.583755  43.224388  -1.796671  -1.779826  -1.183980  1.8188444  1.7734075  -1.566375  79.241066  91.555252  0.0484946  0.9680557
148864   640   716904575  17.390750  27.355459  36.672203  0.8488378  0.5988829  1.6849225  1.6159489  1.7867150  -1.414520  72.768852  91.278350  0.3026065  0.9945466
148864   370   431781023  14.634457  11.542408  34.291648  -1.652463  -1.673018  0.2906716  0.4943645  0.5433493  -2.562007  60.541980  90.892486  0.0528091  1.0116912
148864   302   355999314  15.559642  30.986856  42.247222  -1.425578  -0.770290  -1.147271  2.2101779  1.8921992  -1.134244  73.517356  91.329689  0.7284908  0.9911679
148864   556   630002218  10.864110  31.846244  43.245452  -1.811025  -1.769284  -1.026891  -1.524428  -1.540537  1.5540931  78.636932  91.361518  0.0446839  0.9853229
148864   465   535054577  15.698310  23.079299  30.475980  1.3483444  1.5339083  -0.048609  3.0172834  2.9671371  -0.130131  70.522277  89.414451  0.1922255  1.1059834
148952   249   314522428  23.396083  13.495098  43.247077  1.2731878  1.4090203  0.1737267  -0.773512  -0.918251  2.2679715  57.871841  93.599601  0.1982256  0.9176406
148952   154   162260306  12.376928  23.535482  48.688991  0.6879148  0.6781901  1.4499187  -2.990952  -3.081530  -0.383150  71.225791  87.634239  0.0910744  1.2437685
148952   120   105077610  16.564601  21.491663  56.550075  -0.032011  0.4501692  0.2864686  -2.608270  -2.538188  0.3864012  69.814827  93.792655  0.4870931  0.8771629
148952   239   298235603  17.235218  20.743669  35.610961  -0.179614  -0.156834  1.2128764  0.2606419  0.1466046  -3.118012  67.298339  91.238273  0.1162682  0.9975643
148953    62    89718253  21.740533  18.992635  35.486679  0.3238520  0.3191910  -0.957767  -2.467131  -2.449557  0.6647440  62.667842  91.682312  0.0184518  0.9797989
148953    67    97484435  25.673032  11.737643  42.497844  -0.245443  -0.084799  0.7596837  -0.720845  -0.766283  2.3695120  48.604763  88.828964  0.1671128  1.0768056
149003    97    47585945  10.004471  26.765911  40.216281  -0.947192  -0.923635  0.2139481  -1.367892  -1.343163  1.9748505  76.297554  89.550193  0.0341580  1.1346459
149003   191   194239277  26.204372  16.039478  50.214382  -0.940091  -0.812223  -0.723359  -1.447787  -1.265268  1.6801215  56.487518  92.495071  0.2225466  0.9552316
149011    27    40548159  25.294546  17.114831  50.762107  0.9204669  0.9597816  0.9234749  2.5105540  2.4452168  -0.599901  58.808052  92.618103  0.0762781  0.9486427
149011   684   946192367  19.789207  23.634487  45.333087  -2.039395  -2.052577  -2.099692  1.6487476  1.6640319  -1.406699  65.362068  88.496292  0.0201051  1.1358615
149011    40    61990303  24.475524  16.850904  36.453315  -0.214909  -0.076040  1.0907509  -2.119844  -2.768070  0.8392859  57.143863  93.363853  0.6628675  0.9263250
149011    72   114080587  10.929828  33.366497  44.843032  1.6760506  1.8188912  1.7960612  3.0803065  -3.121886  0.0795148  76.957870  88.602966  0.1642818  1.2410267
149011   132   207195118  31.316200  15.456400  38.103790  -0.317546  -0.457601  0.3927870  -0.993335  -1.002831  2.0907342  52.978054  90.467193  0.1397416  1.0243350
149011   306   462945950  38.201980  29.649774  31.973043  -0.334744  -0.290950  -0.119213  1.1952186  1.2031210  -1.697158  61.375183  93.025955  0.0448664  0.9307027
