# Selection as described in the Egamma talk from 20 Jan 2010 confId=121624
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa  twoBodyMa  treeBodyM  mmgDeltaR  kRatio
146804   609   582823459  35.010955  12.888789  38.451732  -0.196415  -0.206058  -0.796483  1.9389231  1.9209114  -1.102426  46.376968  89.548126  0.0203792  1.0504957 
146804   846   815306076  7.9451918  33.005886  41.494930  -1.829160  -1.826597  -0.920328  2.4655375  2.2532184  -1.133917  80.846908  89.902000  0.2121868  1.1505735 
146804   874   842950520  8.4189958  23.761890  26.051073  -2.313385  -2.316888  -1.456261  -1.646699  -1.632711  1.4267802  53.771606  62.739219  0.0146091  5.1911062 
146807   337   341332638  8.6511297  36.421394  43.209701  -1.408720  -1.448377  -0.861507  0.3656609  0.4032248  -2.806629  82.660850  91.837181  0.0545873  0.9257521 
146807   435   432547273  13.701525  23.212308  53.938720  -0.750220  -1.081503  -0.555652  -1.695023  -1.530350  1.5425521  72.808448  91.252113  0.3698822  0.9961103 
146807   450   447451410  11.011634  12.520436  17.441049  1.6550167  1.8011500  -0.209630  1.6180453  1.4549244  -1.752338  45.425365  60.985309  0.2186045  3.7757731 
146944   238   176961704  9.1861667  21.797403  31.649883  0.2259505  0.2498536  2.2233018  -0.591426  -0.851034  2.1235272  75.958663  90.660537  0.2606875  1.0391267 
146944   322   300071686  11.511580  24.623952  37.616165  1.1964671  1.1934407  -0.069759  2.2288968  2.2449266  -1.082913  73.328002  88.845634  0.0163269  1.1675434 
146944   488   531789209  9.0773677  33.203113  40.005981  0.0889391  0.6800711  -0.277860  -1.807422  -1.622331  1.4797784  81.430587  90.820846  0.6194393  1.0412691 
146944   359   352779322  6.4403505  33.845947  43.152309  -0.593721  -0.587941  -1.183262  1.9691380  1.2612414  -1.616968  79.703735  87.364616  0.7078740  1.5333284 
